state,city,tract_fips,year,question,estimate
Missouri,St. Louis,29510101100,2015,Diabetes,9.5
Missouri,St. Louis,29510101200,2015,Diabetes,9.2
Missouri,St. Louis,29510101300,2015,Diabetes,7.7
Missouri,St. Louis,29510101400,2015,Diabetes,10.9
Missouri,St. Louis,29510101500,2015,Diabetes,11.8
Missouri,St. Louis,29510101800,2015,Diabetes,13.1
Missouri,St. Louis,29510102100,2015,Diabetes,8.5
Missouri,St. Louis,29510102200,2015,Diabetes,7.7
Missouri,St. Louis,29510102300,2015,Diabetes,9.6
Missouri,St. Louis,29510102400,2015,Diabetes,9.6
Missouri,St. Louis,29510102500,2015,Diabetes,8.8
Missouri,St. Louis,29510103100,2015,Diabetes,8.1
Missouri,St. Louis,29510103400,2015,Diabetes,7
Missouri,St. Louis,29510103600,2015,Diabetes,9.6
Missouri,St. Louis,29510103700,2015,Diabetes,7.2
Missouri,St. Louis,29510103800,2015,Diabetes,7.7
Missouri,St. Louis,29510104200,2015,Diabetes,6.1
Missouri,St. Louis,29510104500,2015,Diabetes,6.9
Missouri,St. Louis,29510105198,2015,Diabetes,7
Missouri,St. Louis,29510105200,2015,Diabetes,10.4
Missouri,St. Louis,29510105300,2015,Diabetes,18.6
Missouri,St. Louis,29510105400,2015,Diabetes,14.8
Missouri,St. Louis,29510105500,2015,Diabetes,19.2
Missouri,St. Louis,29510106100,2015,Diabetes,23.5
Missouri,St. Louis,29510106200,2015,Diabetes,22.6
Missouri,St. Louis,29510106300,2015,Diabetes,18.6
Missouri,St. Louis,29510106400,2015,Diabetes,22.2
Missouri,St. Louis,29510106500,2015,Diabetes,22.2
Missouri,St. Louis,29510106600,2015,Diabetes,23.7
Missouri,St. Louis,29510106700,2015,Diabetes,21.9
Missouri,St. Louis,29510107200,2015,Diabetes,20.6
Missouri,St. Louis,29510107300,2015,Diabetes,22.8
Missouri,St. Louis,29510107400,2015,Diabetes,23.4
Missouri,St. Louis,29510107500,2015,Diabetes,21.1
Missouri,St. Louis,29510107600,2015,Diabetes,21.2
Missouri,St. Louis,29510108100,2015,Diabetes,18.9
Missouri,St. Louis,29510108200,2015,Diabetes,21.9
Missouri,St. Louis,29510108300,2015,Diabetes,17
Missouri,St. Louis,29510109600,2015,Diabetes,20.5
Missouri,St. Louis,29510109700,2015,Diabetes,22.7
Missouri,St. Louis,29510110100,2015,Diabetes,20.7
Missouri,St. Louis,29510110200,2015,Diabetes,21.4
Missouri,St. Louis,29510110300,2015,Diabetes,20.4
Missouri,St. Louis,29510110400,2015,Diabetes,19.6
Missouri,St. Louis,29510110500,2015,Diabetes,22.1
Missouri,St. Louis,29510111100,2015,Diabetes,23.6
Missouri,St. Louis,29510111200,2015,Diabetes,21.4
Missouri,St. Louis,29510111300,2015,Diabetes,25.7
Missouri,St. Louis,29510111400,2015,Diabetes,19.9
Missouri,St. Louis,29510111500,2015,Diabetes,20.8
Missouri,St. Louis,29510112100,2015,Diabetes,7.3
Missouri,St. Louis,29510112200,2015,Diabetes,18.9
Missouri,St. Louis,29510112300,2015,Diabetes,20.9
Missouri,St. Louis,29510112400,2015,Diabetes,6.7
Missouri,St. Louis,29510113500,2015,Diabetes,9
Missouri,St. Louis,29510114101,2015,Diabetes,8.4
Missouri,St. Louis,29510114102,2015,Diabetes,7.2
